category,project,path,number,version,filename
module,NetBeans Modules Java Sourceui,/artifact/org.netbeans.api/org-netbeans-modules-java-sourceui,53,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-java-sourceui___RELEASE122.jar
module,Mule Services,/artifact/org.mule.runtime/mule-module-service,53,4.1.1,jars/org.mule.runtime__mule-module-service___4.1.1.jar
module,Mule Connector Test,/artifact/org.mule.modules/mule-connector-test,53,2.0.7,jars/org.mule.modules__mule-connector-test___2.0.7.jar
module,Model,/artifact/nl.cloudfarming.client/model,52,1.0.18,jars/nl.cloudfarming.client__model___1.0.18.jar
module,MetaWidget Core,/artifact/org.metawidget.modules/metawidget-core,52,4.2,jars/org.metawidget.modules__metawidget-core___4.2.jar
module,NetBeans Modules Dlight Nativeexecution,/artifact/org.netbeans.modules/org-netbeans-modules-dlight-nativeexecution,52,RELEASE122,jars/org.netbeans.modules__org-netbeans-modules-dlight-nativeexecution___RELEASE122.jar
module,NetBeans Modules Editor Fold,/artifact/org.netbeans.api/org-netbeans-modules-editor-fold,52,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-editor-fold___RELEASE122.jar
module,PowerMock Module JUnit4,/artifact/org.powermock.modules/powermock-module-junit4,52,1.4.5,jars/org.powermock.modules__powermock-module-junit4___1.4.5.jar
module,NetBeans Modules Parsing Indexing,/artifact/org.netbeans.api/org-netbeans-modules-parsing-indexing,50,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-parsing-indexing___RELEASE122.jar
module,Apache Karaf :: JAAS :: Modules,/artifact/org.apache.karaf.jaas/org.apache.karaf.jaas.modules,50,4.3.0,jars/org.apache.karaf.jaas__org.apache.karaf.jaas.modules___4.3.0.jar
module,Mule Module Data Mapper,/artifact/com.mulesoft.muleesb.modules/mule-module-data-mapper,50,3.9.2,jars/com.mulesoft.muleesb.modules__mule-module-data-mapper___3.9.2.jar
module,NetBeans Modules XML Schema Model,/artifact/org.netbeans.api/org-netbeans-modules-xml-schema-model,50,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-xml-schema-model___RELEASE122.jar
module,Library Common,/artifact/nl.cloudfarming.client/lib-common,50,1.2.2-NB80,jars/nl.cloudfarming.client__lib-common___1.2.2-NB80.jar
module,DAISY Pipeline 2 Module :: File Set Utilities,/artifact/org.daisy.pipeline.modules/fileset-utils,49,3.0.0,jars/org.daisy.pipeline.modules__fileset-utils___3.0.0.jar
module,DAISY Pipeline 2 Module :: File Utilities,/artifact/org.daisy.pipeline.modules/file-utils,49,2.1.1,jars/org.daisy.pipeline.modules__file-utils___2.1.1.jar
module,NetBeans Modules XML WSDL Model,/artifact/org.netbeans.api/org-netbeans-modules-xml-wsdl-model,49,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-xml-wsdl-model___RELEASE122.jar
module,Apache DeltaSpike Test Control Module Impl,/artifact/org.apache.deltaspike.modules/deltaspike-test-control-module-impl,48,1.9.4,jars/org.apache.deltaspike.modules__deltaspike-test-control-module-impl___1.9.4.jar
module,NetBeans Modules Schema2beans,/artifact/org.netbeans.api/org-netbeans-modules-schema2beans,47,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-schema2beans___RELEASE122.jar
module,NetBeans Modules AutoUpdate Services,/artifact/org.netbeans.api/org-netbeans-modules-autoupdate-services,45,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-autoupdate-services___RELEASE122.jar
module,NetBeans Modules DB,/artifact/org.netbeans.api/org-netbeans-modules-db,45,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-db___RELEASE122.jar
module,Logging,/artifact/nl.cloudfarming.client/logging,44,1.0.24,jars/nl.cloudfarming.client__logging___1.0.24.jar
module,Spring Config,/artifact/org.mule.runtime/mule-module-spring-config,44,4.1.1,jars/org.mule.runtime__mule-module-spring-config___4.1.1.jar
module,OpenIDE Modules,/artifact/com.sun.tools.visualvm.api/org-openide-modules,43,RELEASE139,jars/com.sun.tools.visualvm.api__org-openide-modules___RELEASE139.jar
module,NetBeans Modules XML Retriever,/artifact/org.netbeans.api/org-netbeans-modules-xml-retriever,43,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-xml-retriever___RELEASE122.jar
